WGD number,clade name,left,right,left_tip,right_tip
1,Angiospermae,Amborella,Helianthus,Amborellaceae,Asteraceae
2,Gunneridae,Gunnera,Helianthus,Gunneraceae,Asteraceae
3,Commelinidae,Elaeis,Zea,Arecaceae,Poaceae
3a,Monocotyledonae,Acorus,Zea,Acoraceae,Poaceae
3b,Alismatales+Poales,Lemna,Zea,Araceae,Poaceae
3c,Dioscoreales+Poales,Dioscorea,Zea,Dioscoreaceae,Poaceae
3d,Liliales+Poales,Lilium,Zea,Liliaceae,Poaceae
3e,Asparagales+Poales,Iris,Zea,Iridaceae,Poaceae
4,Poaceae,Hordeum,Zea,Poaceae,Poaceae
5,Magnoliales+Laurales,Magnolia,Laurus,Magnoliaceae,Lauraceae
6,Ranunculales,Euptelea,Ranunculus,Eupteleaceae,Ranunculaceae
6a,Papaveraceae+Ranunclaceae,Dicentra,Ranunculus,Papaveraceae,Ranunculaceae
7,Asteraceae,Barnadesia,Helianthus,Asteraceae,Asteraceae
8,Brassicaceae,Arabidopsis,Brassica,Brassicaceae,Brassicaceae
9,Brassicaceae+Limnanthaceae,Floerkea,Arabidopsis,Limnanthaceae,Brassicaceae
9a,Resedaceae+Brassicaceae,Reseda,Arabidopsis,Resedaceae,Brassicaceae
9b,Brassicaceae+Bataceae,Batis,Arabidopsis,Bataceae,Brassicaceae
