WGD number,clade name,left,right
1,Angiospermae,Amborella,Helianthus
2,Gunneridae,Gunnera,Helianthus
3,Commelinidae,Elaeis,Zea
3a,Monocotyledonae,Acorus,Zea
3b,Alismatales+Poales,Lemna,Zea
3c,Dioscoreales+Poales,Dioscorea,Zea
3d,Liliales+Poales,Lilium,Zea
3e,Asparagales+Poales,Iris,Zea
4,Poaceae,Hordeum,Zea
5,Magnoliales+Laurales,Magnolia,Laurus
6,Ranunculales,Euptelea,Ranunculus
6a,Papaveraceae+Ranunclaceae,Dicentra,Ranunculus
7,Asteraceae,Barnadesia,Helianthus
8,Brassicaceae,Arabidopsis,Brassica
9,Brassicaceae+Limnanthaceae,Floerkea,Arabidopsis
9a,Resedaceae+Brassicaceae,Reseda,Arabidopsis
9b,Brassicaceae+Bataceae,Batis,Arabidopsis
