name,group,alt_group1,alt_group2,reference,nearest,nearest_alt1,nearest_alt2,ndist,ndist_alt1,ndist_alt2,sampled,tip
Zeta,Spermatophyta,,,Jiao et al. 2011,,,,NA,,,TRUE,FALSE
Epsilon,Angiospermae,,,Jiao et al. 2011,Mesangiospermae,,,3,,,TRUE,FALSE
Gamma,Gunneridae,,,Jiao et al. 2012,Superrosidae + Superasteridae,,,1,,,TRUE,FALSE
Delta,Monocotyledonae,,,Paterson et al. 2011,Mesangiospermae,,,-1,,,TRUE,FALSE
Rho,Poaceae,,,Paterson et al. 2012,Commelinidae,,,-3,,,TRUE,TRUE
,Magnoliales+Laurales,Laurales,Magnoliales,Cui et al. 2006,Lauraceae,Lauraceae,Annonaceae,3,2,3,TRUE,FALSE
,Ranunculales,,,Cui et al. 2006,Mesangiospermae,,,-4,,,TRUE,FALSE
,Asteraceae+Calyceraceae,,,Barker et al 2012,Asteraceae,,,1,,,TRUE,FALSE
,Asteraceae,,, Barker et al. 2008,Asteraceae,,,0,,,TRUE,TRUE
Alpha,Brassicaceae,,,Bowers et al. 2003,Capparaceae + Brassicaceae,,,-1,,,TRUE,TRUE
,Brassicaceae+Limnanthaceae,,,Bowers et al. 2003,Capparaceae + Brassicaceae,,,3,,,TRUE,FALSE
,Cleomaceae,,,Bowers et al. 2003,,,,NA,,,FALSE,FALSE
