"","genus","family","order"
"Amborella","Amborella","Amborellaceae","Amborellales"
"Trithuria","Trithuria","Hydatellaceae","Nymphaeales"
"Nymphaea","Nymphaea","Nymphaeaceae","Nymphaeales"
"Nuphar","Nuphar","Nymphaeaceae","Nymphaeales"
"Brasenia","Brasenia","Cabombaceae","Nymphaeales"
"Cabomba","Cabomba","Cabombaceae","Nymphaeales"
"Illicium","Illicium","Schisandraceae","Austrobaileyales"
"Schisandra","Schisandra","Schisandraceae","Austrobaileyales"
"Kadsura","Kadsura","Schisandraceae","Austrobaileyales"
"Trimenia",NA,"Trimeniaceae","Austrobaileyales"
"Austrobaileya","Austrobaileya","Austrobaileyaceae","Austrobaileyales"
"Hedyosmum","Hedyosmum","Chloranthaceae","Chloranthales"
"Ascarina","Ascarina","Chloranthaceae","Chloranthales"
"Chloranthus","Chloranthus","Chloranthaceae","Chloranthales"
"Sarcandra",NA,"Chloranthaceae","Chloranthales"
"Mauloutchia","Mauloutchia","Myristicaceae","Magnoliales"
"Myristica","Myristica","Myristicaceae","Magnoliales"
"Degeneria","Degeneria","Degeneriaceae","Magnoliales"
"Galbulimima","Galbulimima","Himantandraceae","Magnoliales"
"Annona","Annona","Annonaceae","Magnoliales"
"Cananga","Cananga","Annonaceae","Magnoliales"
"Eupomatia","Eupomatia","Eupomatiaceae","Magnoliales"
"Magnolia","Magnolia","Magnoliaceae","Magnoliales"
"Liriodendron","Liriodendron","Magnoliaceae","Magnoliales"
"Idiospermum","Idiospermum","Calycanthaceae","Laurales"
"Calycanthus","Calycanthus","Calycanthaceae","Laurales"
"Siparuna","Siparuna","Siparunaceae","Laurales"
"Gomortega","Gomortega","Gomortegaceae","Laurales"
"Atherosperma","Atherosperma","Atherospermataceae","Laurales"
"Daphnandra","Daphnandra","Atherospermataceae","Laurales"
"Cryptocarya","Cryptocarya","Lauraceae","Laurales"
"Laurus","Laurus","Lauraceae","Laurales"
"Hedycarya","Hedycarya","Monimiaceae","Laurales"
"Peumus","Peumus","Monimiaceae","Laurales"
"Gyrocarpus","Gyrocarpus","Hernandiaceae","Laurales"
"Hernandia","Hernandia","Hernandiaceae","Laurales"
"Piper","Piper","Piperaceae","Piperales"
"Peperomia","Peperomia","Piperaceae","Piperales"
"Houttuynia","Houttuynia","Saururaceae","Piperales"
"Saururus","Saururus","Saururaceae","Piperales"
"Saruma","Saruma","Aristolochiaceae","Piperales"
"Aristolochia","Aristolochia","Aristolochiaceae","Piperales"
"Thottea","Thottea","Aristolochiaceae","Piperales"
"Lactoris","Lactoris","Lactoridaceae","Piperales"
"Canella","Canella","Canellaceae","Canellales"
"Cinnamodendron","Cinnamodendron","Canellaceae","Canellales"
"Takhtajania","Takhtajania","Winteraceae","Canellales"
"Drimys","Drimys","Winteraceae","Canellales"
"Tasmannia","Tasmannia","Winteraceae","Canellales"
"Acorus","Acorus","Acoraceae","Acorales"
"Pleea","Pleea","Tofieldiaceae","Alismatales"
"Tofieldia","Tofieldia","Tofieldiaceae","Alismatales"
"Triglochin","Triglochin","Juncaginaceae","Alismatales"
"Potamogeton","Potamogeton","Potamogetonaceae","Alismatales"
"Alisma","Alisma","Alismataceae","Alismatales"
"Hydrocharis","Hydrocharis","Hydrocharitaceae","Alismatales"
"Orontium","Orontium","Araceae","Alismatales"
"Lemna","Lemna","Araceae","Alismatales"
"Spathiphyllum","Spathiphyllum","Araceae","Alismatales"
"Xanthosoma","Xanthosoma","Araceae","Alismatales"
"Dioscorea","Dioscorea","Dioscoreaceae","Dioscoreales"
"Carludovica","Carludovica","Cyclanthaceae","Pandanales"
"Croomia","Croomia","Stemonaceae","Pandanales"
