Name,Chromosome number,Ploidy level,1C value
Abelmoschus esculentus,120,,1.65
Abies alba,24,2,16.55
Abies balsamea,24,2,13.15
Abies concolor,,,18.05
Abies fraseri,,,17.2
Abies sibirica,24,2,15.8
Abietinella abietina,,,0.36
Abutilon theophrasti,42,6,1.4
Acacia albida,26,2,0.58
Acacia aulacocarpa,26,2,1.5
Acacia auriculaeformis,26,2,0.83
Acacia bancrofti,26,2,1.45
Acacia bivenosa,26,2,1.4
Acacia caffra,26,2,0.55
Acacia catechu,26,2,0.7
Acacia cincinnata,26,2,1.93
Acacia colletioides,,,0.77
Acacia concurrens,26,2,1.53
Acacia crassa,26,2,1.45
Acacia crassicarpa,26,2,1.38
Acacia dealbata,26,2,0.87
Acacia dealbata,39,3,1.27
Acacia dealbata,52,4,1.71
Acacia doratoxylon,,,0.81
Acacia drepanolobium,52,4,0.58
Acacia falcata,26,2,1.5
Acacia falciformis,26,2,1.18
Acacia farnesiana,52,4,1.45
Acacia fimbriata,26,2,1.8
Acacia floribunda,,,0.96
Acacia gerrardi,52,4,1.33
Acacia greggii,26,2,1.78
Acacia heterophylla,26,2,0.8
Acacia holosericea,52,4,1.75
Acacia hylonoma,26,2,1.4
Acacia implexa,26,2,0.8
Acacia irrorata,26,2,1.78
Acacia iteaphylla,26,2,1.93
Acacia leiocalyx,26,2,1.58
Acacia leptocarpa,26,2,1.23
Acacia leucophloea,52,4,1.68
Acacia ligulata,26,2,1.63
Acacia longispicata,26,2,1.88
Acacia maidenii,26,2,1.45
Acacia mangium,26,2,0.65
Acacia mearnsii,26,2,0.7
Acacia melanoxylon,26,2,1.63
Acacia mellifera,26,2,0.6
Acacia modesta,26,2,0.6
Acacia nilotica,26,2,1.2
Acacia nilotica,52,4,0.55
Acacia nilotica,104,8,1.1
Acacia nubica,56,4,0.85
Acacia orites,26,2,1.45
Acacia oswaldii,,,0.92
Acacia podalyriifolia,26,2,1.65
Acacia polycantha,52,4,0.55
Acacia pycnantha,26,2,1.78
Acacia raddiana,104,8,1.9
Acacia raddiana,78,6,0.95
Acacia salicina,26,2,1.33
Acacia senegal,26,2,1.5
Acacia seyal,104,8,1.08
Acacia sieberana,26,2,0.6
Acacia simsii,26,2,2.1
Acacia sophorae,26,2,0.83
Acacia suaveolens,,,0.9
Acacia suberosa,26,2,1.65
Acacia tortilis,78,6,2.05
Acacia tortilis,52,4,0.53
Acacia tortilis,104,8,1.1
Acacia verek,26,2,1.3
Acacia victoriae,26,2,2.05
Acacia wilhelmiana,,,0.81
Acaena magellanica,,,0.33
Acanthephippium sylhetense,40,,7.48
Acantholepis orientalis,14,2,3.26
Acer carpinifolium,52,4,0.38
Acer negundo,,,0.54
Acer pseudoplatanus,52,4,1.18
Achillea abrotanoides,18,2,2.78
Achillea ageratifolia,18,2,2.9
Achillea ageratum,18,2,3
Achillea asiatica,36,4,4.95
Achillea asplenifolia,18,2,3.13
Achillea biebersteinii,18,2,2.63
Achillea borealis,54,6,7.43
Achillea chamaemelifolia,18,2,3.38
Achillea clavennae,18,2,3.05
Achillea clypeolata,18,2,2.7
Achillea collina,36,4,4.95
Achillea compacta,18,2,2.45
Achillea crithmifolia,18,2,2.45
Achillea crithmifolia,36,4,5.25
Achillea distans,54,6,8.75
Achillea erba-rotta,18,2,2.68
Achillea filipendulina,18,2,2.9
Achillea glaberrima,18,2,2.83
Achillea grandifolia,18,2,3.28
Achillea impatiens,18,2,3.05
Achillea lanulosa,36,4,5.05
Achillea ligustica,18,2,3.25
Achillea lingulata,18,2,3.28
Achillea macrophylla,18,2,3.1
Achillea millefolium,54,6,7.65
Achillea montana,,,2.1
Achillea nobilis,18,2,2.68
Achillea ochroleuca,18,2,2.9
Achillea pannonica,72,8,10.33
Achillea ptarmica,18,2,2.9
Achillea salicifolia,18,2,3.13
Achillea setacea,18,2,2.93
Achillea sibirica,36,4,5.13
Achillea stricta,54,6,7.45
Achillea sulphurea,18,2,2.73
Achillea tanacetifolia,54,6,7.73
Achillea teretifolia,18,2,2.55
Achillea tomentosa,18,2,2.98
Achillea vermicularis,18,2,2.88
Achillea vulgaris,,,2.25
Achnatherum petriei,42,6,0.89
Acorus calamus,,,0.65
Acorus gramineus,,,0.4
Acridocarpus natalitius,,24,1.52
Acrocomia aculeata,30,2,3.38
Actinidia arguta,116,4,1.55
Actinidia chinensis,174,6,2.1
Actinidia chinensis,58,2,0.78
Actinidia deliciosa,174,6,2.23
Actinidia eriantha,,6,0.76
Actinidia kolomikta,,6,0.7
Actinidia polygama,,6,0.79
Ada ocanensis,,,3.7
Adansonia digitata,,,3.85
Adenanthera microsperma,,,0.7
Adenanthera pavonina,26,,0.68
Adenocarpus foliolosus,52,4,0.9
Adenocarpus viscosus,,4,0.85
Adina cordifolia,22,2,0.83
Adina pilulifera,44,4,0.68
Adonis annua,,,16.85
Adonis vernalis,,,14.15
Adoxa moschatellina,36,4,14.3
Aegilops bicornis,14,2,7.13
Aegilops biuncialis,28,4,11.3
Aegilops caudata,14,2,4.63
Aegilops columnaris,28,4,10.5
Aegilops comosa,14,2,6.18
Aegilops crassa,28,4,10.48
Aegilops crassa,42,6,15.7
Aegilops cylindrica,28,4,4.65
Aegilops geniculata,28,4,10.29
