"","genus","family","order","richness"
"Acanthopale","Acanthopale","Acanthaceae","Lamiales",8
"Acanthopsis","Acanthopsis","Acanthaceae","Lamiales",8
"Acanthura","Acanthura","Acanthaceae","Lamiales",1
"Acanthus","Acanthus","Acanthaceae","Lamiales",29
"Achyrocalyx","Achyrocalyx","Acanthaceae","Lamiales",4
"Adhatoda","Adhatoda","Acanthaceae","Lamiales",1
"Aechmanthera","Aechmanthera","Acanthaceae","Lamiales",3
"Afrofittonia","Afrofittonia","Acanthaceae","Lamiales",1
"Ambongia","Ambongia","Acanthaceae","Lamiales",1
"Ancistranthus","Ancistranthus","Acanthaceae","Lamiales",1
"Andrographis","Andrographis","Acanthaceae","Lamiales",32
"Angkalanthus","Angkalanthus","Acanthaceae","Lamiales",1
"Anisacanthus","Anisacanthus","Acanthaceae","Lamiales",18
"Anisosepalum","Anisosepalum","Acanthaceae","Lamiales",3
"Anisostachya","Anisostachya","Acanthaceae","Lamiales",2
"Anisotes","Anisotes","Acanthaceae","Lamiales",18
"Anomacanthus","Anomacanthus","Acanthaceae","Lamiales",1
"Apassalus","Apassalus","Acanthaceae","Lamiales",4
"Aphanosperma","Aphanosperma","Acanthaceae","Lamiales",1
"Aphelandra","Aphelandra","Acanthaceae","Lamiales",195
"Aphelandrella","Aphelandrella","Acanthaceae","Lamiales",1
"Ascotheca","Ascotheca","Acanthaceae","Lamiales",1
"Asystasia","Asystasia","Acanthaceae","Lamiales",54
"Asystasiella","Asystasiella","Acanthaceae","Lamiales",4
"Avicennia","Avicennia","Acanthaceae","Lamiales",8
"Ballochia","Ballochia","Acanthaceae","Lamiales",3
"Baphicacanthus","Baphicacanthus","Acanthaceae","Lamiales",1
"Barleria","Barleria","Acanthaceae","Lamiales",253
"Barleriola","Barleriola","Acanthaceae","Lamiales",4
"Beloperone","Beloperone","Acanthaceae","Lamiales",2
"Benoicanthus","Benoicanthus","Acanthaceae","Lamiales",2
"Blechum","Blechum","Acanthaceae","Lamiales",14
"Blepharis","Blepharis","Acanthaceae","Lamiales",125
"Borneacanthus","Borneacanthus","Acanthaceae","Lamiales",6
"Boutonia","Boutonia","Acanthaceae","Lamiales",1
"Brachystephanus","Brachystephanus","Acanthaceae","Lamiales",14
"Bravaisia","Bravaisia","Acanthaceae","Lamiales",3
"Brillantaisia","Brillantaisia","Acanthaceae","Lamiales",17
"Brunoniella","Brunoniella","Acanthaceae","Lamiales",6
